Item	Price	Quantity in Stock	Cashier	Time Stamp
item-0	51.99	42	Cashier-1	11:39
item-1	21.99	88	Cashier-2	23:44
item-2	43.99	112	Cashier-1	10:12
item-3	9.99	10	Cashier-4	16:51
item-4	15.99	95	Cashier-2	14:37
item-5	39.99	125	Cashier-2	19:29
item-6	25.99	125	Cashier-4	12:32
item-7	56.99	117	Cashier-3	21:18
item-8	28.99	162	Cashier-4	10:44
item-9	37.99	184	Cashier-4	23:27
item-10	47.99	177	Cashier-5	23:18
item-11	29.99	138	Cashier-1	10:54
item-12	44.99	40	Cashier-5	17:39
item-13	2.99	40	Cashier-4	20:39
item-14	48.99	51	Cashier-2	17:43
item-15	55.99	74	Cashier-2	17:41
item-16	18.99	77	Cashier-5	16:38
item-17	25.99	99	Cashier-3	15:57
item-18	42.99	22	Cashier-1	16:31
item-19	42.99	189	Cashier-2	21:18
item-20	59.99	175	Cashier-2	19:33
item-21	39.99	110	Cashier-4	22:54
item-22	42.99	34	Cashier-1	17:24
item-23	7.99	19	Cashier-1	12:59
item-24	45.99	45	Cashier-5	23:21
item-25	36.99	59	Cashier-5	10:44
item-26	29.99	17	Cashier-4	20:10
item-27	12.99	182	Cashier-4	23:59
item-28	20.99	178	Cashier-3	16:57
item-29	38.99	116	Cashier-2	10:10
item-30	60.99	93	Cashier-4	13:39
item-31	30.99	153	Cashier-5	14:35
item-32	53.99	86	Cashier-4	18:59
item-33	40.99	200	Cashier-1	13:50
item-34	1.99	90	Cashier-5	22:14
item-35	30.99	156	Cashier-3	11:34
item-36	36.99	165	Cashier-2	16:25
item-37	22.99	86	Cashier-2	11:29
item-38	21.99	124	Cashier-4	20:49
item-39	60.99	29	Cashier-4	20:52
item-40	6.99	150	Cashier-3	23:11
item-41	7.99	26	Cashier-4	12:40
item-42	10.99	37	Cashier-5	20:24
item-43	7.99	92	Cashier-1	22:53
item-44	46.99	59	Cashier-1	20:27
item-45	27.99	25	Cashier-1	16:53
item-46	1.99	56	Cashier-5	14:43
item-47	4.99	113	Cashier-2	15:26
item-48	6.99	17	Cashier-4	10:15
item-49	41.99	144	Cashier-3	20:45
item-50	21.99	88	Cashier-3	20:26
item-51	47.99	189	Cashier-4	10:19
item-52	55.99	141	Cashier-5	11:13
item-53	59.99	85	Cashier-1	13:41
item-54	24.99	117	Cashier-4	16:56
item-55	59.99	156	Cashier-4	21:26
item-56	37.99	179	Cashier-2	23:34
item-57	53.99	18	Cashier-4	14:45
item-58	22.99	102	Cashier-4	20:27
item-59	4.99	164	Cashier-2	14:40
item-60	14.99	75	Cashier-3	15:48
item-61	13.99	79	Cashier-2	23:29
item-62	18.99	136	Cashier-2	12:51
item-63	43.99	195	Cashier-4	14:18
item-64	24.99	182	Cashier-4	11:56
item-65	48.99	53	Cashier-1	19:20
item-66	3.99	157	Cashier-2	16:20
item-67	55.99	77	Cashier-5	18:12
item-68	54.99	113	Cashier-4	14:43
item-69	31.99	173	Cashier-2	12:51
item-70	40.99	176	Cashier-3	19:13
item-71	31.99	116	Cashier-3	15:30
item-72	31.99	181	Cashier-1	12:10
item-73	19.99	35	Cashier-5	19:47
item-74	31.99	137	Cashier-2	19:24
item-75	14.99	32	Cashier-4	20:38
item-76	55.99	158	Cashier-5	21:51
item-77	24.99	140	Cashier-2	19:14
item-78	56.99	90	Cashier-1	16:24
item-79	26.99	82	Cashier-3	20:48
item-80	26.99	70	Cashier-3	13:56
item-81	34.99	47	Cashier-2	17:53
item-82	50.99	52	Cashier-2	15:44
item-83	53.99	147	Cashier-2	19:15
item-84	7.99	198	Cashier-2	16:53
item-85	53.99	114	Cashier-2	11:19
item-86	51.99	136	Cashier-3	12:48
item-87	42.99	139	Cashier-1	11:21
item-88	16.99	32	Cashier-3	18:39
item-89	58.99	24	Cashier-3	19:30
item-90	26.99	29	Cashier-4	22:10
item-91	36.99	119	Cashier-4	16:44
item-92	28.99	67	Cashier-4	19:42
item-93	56.99	19	Cashier-5	11:55
item-94	52.99	115	Cashier-3	22:11
item-95	49.99	172	Cashier-1	16:48
item-96	39.99	106	Cashier-2	20:50
item-97	57.99	93	Cashier-5	23:50
item-98	1.99	194	Cashier-1	19:10
item-99	60.99	27	Cashier-2	16:25
item-100	50.99	173	Cashier-4	13:18
item-101	44.99	168	Cashier-2	22:50
item-102	60.99	107	Cashier-1	12:18
item-103	6.99	126	Cashier-2	19:52
item-104	54.99	106	Cashier-3	23:38
item-105	34.99	165	Cashier-1	11:53
item-106	38.99	72	Cashier-5	17:56
item-107	31.99	122	Cashier-5	21:31
item-108	46.99	66	Cashier-4	15:50
item-109	54.99	140	Cashier-5	14:57
item-110	50.99	176	Cashier-4	14:54
item-111	5.99	163	Cashier-3	21:14
item-112	55.99	96	Cashier-1	14:26
item-113	32.99	30	Cashier-1	13:24
item-114	21.99	61	Cashier-5	13:56
item-115	8.99	33	Cashier-2	12:55
item-116	34.99	15	Cashier-4	21:17
item-117	48.99	24	Cashier-3	14:41
item-118	16.99	80	Cashier-3	11:22
item-119	12.99	70	Cashier-4	11:24
item-120	56.99	68	Cashier-2	23:10
item-121	30.99	146	Cashier-5	22:29
item-122	42.99	163	Cashier-2	14:21
item-123	31.99	192	Cashier-5	10:24
item-124	34.99	162	Cashier-4	21:19
item-125	8.99	113	Cashier-2	10:10
item-126	44.99	137	Cashier-3	21:32
item-127	1.99	52	Cashier-3	22:55
item-128	22.99	200	Cashier-1	20:12
item-129	5.99	24	Cashier-3	21:56
item-130	20.99	56	Cashier-4	20:11
item-131	57.99	142	Cashier-1	13:59
item-132	20.99	185	Cashier-1	19:41
item-133	1.99	188	Cashier-5	21:29
item-134	11.99	80	Cashier-4	15:29
item-135	55.99	94	Cashier-3	23:28
item-136	40.99	134	Cashier-1	11:31
item-137	57.99	83	Cashier-4	18:35
item-138	53.99	10	Cashier-1	11:58
item-139	17.99	73	Cashier-3	18:26
item-140	45.99	173	Cashier-4	16:17
item-141	60.99	32	Cashier-3	18:26
item-142	5.99	155	Cashier-2	14:26
item-143	20.99	90	Cashier-4	11:21
item-144	30.99	75	Cashier-2	20:20
item-145	28.99	94	Cashier-4	18:25
item-146	20.99	198	Cashier-5	20:22
item-147	55.99	123	Cashier-4	22:35
item-148	24.99	135	Cashier-3	20:31
item-149	17.99	111	Cashier-2	10:28
item-150	26.99	6	Cashier-1	23:55
item-151	27.99	55	Cashier-1	13:44
item-152	40.99	48	Cashier-4	22:37
item-153	26.99	171	Cashier-5	21:11
item-154	48.99	51	Cashier-5	17:21
item-155	57.99	160	Cashier-4	22:29
item-156	41.99	109	Cashier-1	11:33
item-157	28.99	63	Cashier-5	20:36
item-158	14.99	181	Cashier-3	15:52
item-159	27.99	62	Cashier-3	14:58
item-160	33.99	156	Cashier-4	18:57
item-161	6.99	162	Cashier-5	16:28
item-162	43.99	167	Cashier-5	15:38
item-163	55.99	22	Cashier-5	18:47
item-164	18.99	150	Cashier-4	19:54
item-165	22.99	46	Cashier-4	15:59
item-166	53.99	174	Cashier-3	13:31
item-167	40.99	174	Cashier-2	20:19
item-168	42.99	101	Cashier-5	23:17
item-169	51.99	190	Cashier-4	20:21
item-170	15.99	111	Cashier-5	21:58
item-171	12.99	158	Cashier-5	18:27
item-172	2.99	115	Cashier-3	22:49
item-173	27.99	179	Cashier-5	13:20
item-174	43.99	27	Cashier-2	12:14
item-175	9.99	119	Cashier-1	20:52
item-176	9.99	198	Cashier-4	14:43
item-177	6.99	124	Cashier-3	19:40
item-178	52.99	178	Cashier-5	16:14
item-179	16.99	9	Cashier-4	19:42
item-180	36.99	105	Cashier-5	17:48
item-181	44.99	150	Cashier-4	13:27
item-182	30.99	139	Cashier-2	21:45
item-183	60.99	58	Cashier-2	18:31
item-184	28.99	39	Cashier-3	19:36
item-185	12.99	143	Cashier-2	23:41
item-186	53.99	188	Cashier-2	20:57
item-187	31.99	88	Cashier-1	23:43
item-188	47.99	79	Cashier-2	21:37
item-189	20.99	136	Cashier-4	11:15
item-190	41.99	163	Cashier-4	10:49
item-191	55.99	132	Cashier-2	16:25
item-192	29.99	136	Cashier-3	12:15
item-193	59.99	64	Cashier-5	10:49
item-194	58.99	75	Cashier-5	10:54
item-195	47.99	71	Cashier-2	23:32
item-196	6.99	59	Cashier-2	16:14
item-197	24.99	193	Cashier-2	23:26
item-198	35.99	159	Cashier-5	19:36
item-199	14.99	182	Cashier-5	14:24
item-200	40.99	112	Cashier-5	23:48
item-201	46.99	43	Cashier-1	21:56
item-202	29.99	168	Cashier-3	22:50
item-203	39.99	11	Cashier-1	13:28
item-204	58.99	156	Cashier-3	15:51
item-205	53.99	67	Cashier-1	15:22
item-206	47.99	193	Cashier-5	15:16
item-207	5.99	192	Cashier-1	13:46
item-208	2.99	55	Cashier-4	23:16
item-209	20.99	45	Cashier-3	16:24
item-210	24.99	164	Cashier-1	19:13
item-211	24.99	182	Cashier-5	23:45
item-212	42.99	157	Cashier-5	13:37
item-213	22.99	122	Cashier-3	18:13
item-214	53.99	58	Cashier-3	22:49
item-215	42.99	126	Cashier-3	21:13
item-216	54.99	104	Cashier-1	22:45
item-217	47.99	85	Cashier-2	11:36
item-218	12.99	131	Cashier-5	10:44
item-219	16.99	63	Cashier-4	16:16
item-220	33.99	21	Cashier-2	10:36
item-221	27.99	94	Cashier-2	11:12
item-222	35.99	21	Cashier-5	20:18
item-223	53.99	193	Cashier-2	12:43
item-224	24.99	26	Cashier-5	23:10
item-225	48.99	26	Cashier-3	14:58
item-226	12.99	45	Cashier-5	21:53
item-227	14.99	115	Cashier-5	19:25
item-228	12.99	184	Cashier-3	16:30
item-229	38.99	21	Cashier-1	10:47
item-230	41.99	59	Cashier-4	14:41
item-231	22.99	72	Cashier-2	15:32
item-232	17.99	37	Cashier-4	16:29
item-233	42.99	173	Cashier-5	15:38
item-234	9.99	87	Cashier-4	12:51
item-235	27.99	187	Cashier-5	16:11
item-236	50.99	168	Cashier-4	13:41
item-237	38.99	167	Cashier-1	19:10
item-238	8.99	101	Cashier-3	15:50
item-239	30.99	97	Cashier-3	20:39
item-240	25.99	39	Cashier-2	12:28
item-241	18.99	131	Cashier-3	14:37
item-242	36.99	17	Cashier-3	11:26
item-243	38.99	156	Cashier-2	13:12
item-244	23.99	124	Cashier-3	23:52
item-245	50.99	132	Cashier-5	18:17
item-246	15.99	125	Cashier-1	21:37
item-247	35.99	190	Cashier-5	22:48
item-248	11.99	162	Cashier-5	23:45
item-249	9.99	165	Cashier-2	13:30
item-250	46.99	103	Cashier-2	10:39
item-251	58.99	154	Cashier-1	20:39
item-252	46.99	24	Cashier-5	23:34
item-253	25.99	108	Cashier-4	23:32
item-254	14.99	91	Cashier-3	12:29
item-255	7.99	197	Cashier-1	16:27
item-256	38.99	58	Cashier-4	22:14
item-257	51.99	162	Cashier-1	15:25
item-258	52.99	152	Cashier-5	16:49
item-259	60.99	38	Cashier-3	17:11
item-260	40.99	98	Cashier-1	15:13
item-261	31.99	53	Cashier-1	21:45
item-262	26.99	37	Cashier-4	14:12
item-263	1.99	191	Cashier-3	18:11
item-264	58.99	106	Cashier-4	10:28
item-265	10.99	37	Cashier-4	19:29
item-266	30.99	99	Cashier-5	13:37
item-267	29.99	120	Cashier-5	22:22
item-268	1.99	67	Cashier-5	20:10
item-269	18.99	136	Cashier-3	21:28
item-270	18.99	58	Cashier-1	17:54
item-271	15.99	161	Cashier-4	11:30
item-272	31.99	181	Cashier-1	14:20
item-273	16.99	101	Cashier-2	17:35
item-274	9.99	158	Cashier-5	17:35
item-275	19.99	179	Cashier-5	11:36
item-276	40.99	40	Cashier-1	23:34
item-277	45.99	77	Cashier-3	18:31
item-278	42.99	199	Cashier-3	20:36
item-279	10.99	72	Cashier-4	17:47
item-280	25.99	7	Cashier-4	15:28
item-281	5.99	136	Cashier-2	12:37
item-282	28.99	42	Cashier-3	14:55
item-283	49.99	102	Cashier-1	19:14
item-284	12.99	124	Cashier-3	11:37
item-285	7.99	143	Cashier-4	14:11
item-286	23.99	23	Cashier-3	22:34
item-287	50.99	62	Cashier-1	19:47
item-288	44.99	180	Cashier-1	22:15
item-289	22.99	65	Cashier-1	12:15
item-290	15.99	153	Cashier-4	16:19
item-291	58.99	39	Cashier-4	20:27
item-292	39.99	57	Cashier-5	11:16
item-293	2.99	187	Cashier-5	17:38
item-294	46.99	155	Cashier-1	22:41
item-295	52.99	51	Cashier-2	21:18
item-296	44.99	167	Cashier-2	18:21
item-297	49.99	148	Cashier-5	23:18
item-298	25.99	35	Cashier-5	21:23
item-299	8.99	193	Cashier-4	11:23
item-300	28.99	31	Cashier-1	15:42
item-301	53.99	183	Cashier-5	13:44
item-302	40.99	39	Cashier-2	10:27
item-303	24.99	156	Cashier-1	10:19
item-304	8.99	188	Cashier-3	14:39
